PIER NO.,CHAINAGE,NORTHING,EASTING,PIER AZIMUTH,FOOTING SKEW,FOUNDATION TYPE
P26-01,26825.86613,1518291.037,688741.458,84.43270874,0,N/A
P26-02,26840.62984,1518292.47,688756.152,84.43270874,0,N/A
P26-03,26895.63259,1518297.368,688810.938,84.43270874,0,N/A
P26-04,26994.62487,1518306.872,688909.47,86.28240903,0,N/A
P27-01,27049.62014,1518309.216,688964.415,88.09003448,0,N/A
P27-02,27089.62035,1518310.549,689004.393,88.09003448,0,F4B-U
P27-03,27129.62057,1518311.882,689044.371,88.09003448,0,F4B-U
P27-04,27169.62082,1518313.216,689084.349,88.09003448,0,F4B-U
P27-05,27209.62004,1518314.549,689124.326,88.09003448,0,F4B-T
P27-06,27249.62026,1518315.882,689164.304,88.09003448,0,F4B-T
P27-07,27289.574,1518314.966,689204.3099,88.08995056,0,F9B-B
P27-08,27324.467,1518316.128,689239.1836,88.08995056,0,F9B-B
P27-09,27359.361,1518317.291,689274.0582,88.08995056,0,F4B-H
P27-10,27394.254,1518318.454,689308.9318,88.08995056,0,F9B-B
P27-11,27434.133,1518319.783,689348.7887,88.08995056,0,F9B-B
P27-12,27474.012,1518321.112,689388.6455,88.08995056,0,F9B-B
P27-13,27513.89,1518322.441,689428.5013,88.08995056,0,F9B-B
P27-14,27553.768,1518323.771,689468.3572,88.08995056,0,F9B-B
P27-15,27593.646,1518325.1,689508.213,88.08995056,0,F9B-B
P27-16,27633.524,1518326.429,689548.0689,88.08995056,0,F9B-B
P27-17,27669.414,1518327.625,689583.9389,88.08995056,0,F9B-B
P27-18,27705.305,1518328.821,689619.81,88.08995056,0,F9B-B
P27-19,27741.195,1518330.019,689655.68,88.08995056,0,F9B-B
P27-20,27781.074,1518331.347,689695.5369,88.08995056,0,F9B-B
P27-21,27820.952,1518332.676,689735.3927,88.08995056,0,F9B-B
P27-22,27860.83,1518334.005,689775.2486,88.08995056,0,F9B-B
P27-23,27895.724,1518335.168,689810.1232,88.08995056,0,F9B-B
P27-24,27930.617,1518336.331,689844.9968,88.08995056,0,F9B-B
P27-25,27965.511,1518337.494,689879.8714,88.08995056,0,F9B-B
P28-01,28004.392,1518338.79,689918.7308,88.08995056,0,F9B-B
P28-02,28043.371,1518340.076,689957.6886,88.15940596,0,F9B-B
P28-03,28082.381,1518341.249,689996.6809,88.42975906,0,F9B-B
P28-04,28117.381,1518342.108,690031.6704,88.75838411,0,F9B-B
P28-05,28152.381,1518342.766,690066.6641,89.08700917,0,F9B-B
P28-06,28187.381,1518343.223,690101.6611,89.41563422,0,F9B-B
P28-07,28223.38,1518343.492,690137.659,89.70372022,0,F9B-B
P28-08,28258.955,1518343.63,690173.2338,89.82268157,0,N/A
P28-09,28304.705,1518343.769,690218.9836,89.82610321,0,N/A
P28-10,28376.206,1518343.986,690290.4842,89.82610321,0,N/A
P28-11,28447.706,1518344.318,690361.9834,89.52900449,0,N/A
P28-12,28493.456,1518344.865,690407.73,89.10023932,0,N/A
P28-13,28529.371,1518345.535,690443.6387,88.76302307,0,F4BR-A
P28-14,28565.372,1518346.418,690479.6288,88.42499934,0,F4BR-A
P28-15L,28598.372,1518348.401,690512.5825,88.18486048,0,F2B-H
P28-15R,28598.371,1518316.017,690513.6077,88.18486554,0,F2B-H
P28-16L,28635.361,1518349.863,690549.5416,88.08927332,0,F1B-C
P28-16R,28635.371,1518317.37,690550.6356,88.08927229,0,F1B-C
P28-17L,28675.371,1518351.476,690589.52,88.0892334,0,F2B-H
P28-17R,28675.371,1518318.836,690590.6089,88.0892334,0,F2B-H
P28-18,28715.371,1518348.408,690629.6446,88.0892334,0,F4BR-A
P28-19,28755.371,1518350.334,690669.6026,88.0892334,0,F4BR-B
P28-20,28795.372,1518351.7,690709.5803,88.0892334,0,F4BR-B
P28-21,28835.371,1518353.044,690749.5567,88.0892334,0,F4BR-B
P28-22,28875.372,1518354.678,690789.5255,88.0892334,0,F4BR-B
P28-23,28915.371,1518356.768,690829.477,88.0892334,0,F4BR-B
P28-24,28955.372,1518358.891,690869.4294,88.0892334,0,F4BR-B
P28-25,28995.371,1518360.618,690909.393,88.0892334,0,F4BR-A
P29-01,29035.371,1518361.951,690949.3708,88.0892334,0,F4BR-A
P29-02,29075.371,1518363.285,690989.3486,88.0892334,0,F4BR-A
P29-03,29115.372,1518364.618,691029.3274,88.0892334,0,F4BR-A
P29-04L,29150.371,1518375.43,691063.9851,88.0892334,14.45389,F2B-H
P29-04R,29150.371,1518360.936,691064.4687,88.0892334,0,F2B-H
P29-05L,29185.371,1518367.952,691099.2541,88.0892334,12.5425,F2B-H
P29-05R,29185.371,1518336.633,691100.2989,88.0892334,0,F2B-H
P29-06,29220.371,1518368.119,691134.268,88.0892334,0,F4BR-A
P29-07,29255.372,1518369.286,691169.2495,88.0892334,0,F4BR-A
P29-08,29290.371,1518370.453,691204.229,88.0892334,0,F4BR-A
P29-09,29325.371,1518371.62,691239.2096,88.0892334,0,F4BR-A
P29-10,29365.372,1518372.954,691279.1883,88.0892334,0,F4BR-A
P29-11,29405.371,1518374.288,691319.1651,88.0892334,0,F4BR-A
P29-12,29445.371,1518375.622,691359.1429,88.0892334,0,F4BR-A
P29-13,29485.371,1518376.955,691399.1206,88.0892334,0,F4BR-A
P29-14,29525.372,1518378.289,691439.0994,88.0892334,0,F4BR-A
P29-15,29565.371,1518379.623,691479.0761,88.0892334,0,F4BR-A
P29-16,29605.371,1518380.956,691519.0539,88.0892334,0,F4BR-A
P29-17,29645.371,1518382.29,691559.0317,88.0892334,0,F4BR-A
P29-18,29685.372,1518383.624,691599.0104,88.0892334,0,F4BR-A
P29-19,29725.371,1518384.958,691638.9872,88.0892334,0,F4BR-A
P29-20,29765.371,1518386.291,691678.9649,88.0892334,0,F4BR-A
P29-21,29805.371,1518387.625,691718.9427,88.0892334,0,F4BR-A
P29-22,29845.372,1518388.959,691758.9215,88.0892334,0,F4BR-A
P29-23,29885.371,1518390.293,691798.8982,88.0892334,0,F4BR-A
P29-24,29925.371,1518391.626,691838.876,88.0892334,0,F4BR-A
P29-25,29960.372,1518392.793,691873.8575,88.0892334,0,F4BR-A
P30-01,29995.371,1518393.96,691908.837,88.0892334,0,F4BR-A
P30-02,30030.371,1518395.127,691943.8176,88.0892334,0,F4BR-A
P30-02A,30070.371,1518396.461,691983.7953,88.0892334,0,F4BR-A
P30-03,30110.371,1518397.795,692023.7731,88.0892334,0,F4BR-A
P30-04,30145.371,1518398.962,692058.7536,88.0892334,0,F4BR-A
P30-05,30180.371,1518400.129,692093.7342,88.0892334,0,F4BR-A
P30-06,30215.371,1518401.296,692128.7147,88.0892334,0,F4BR-A
P30-07,30254.372,1518402.596,692167.694,88.0892334,0,F4BR-A
P30-08,30293.372,1518403.896,692206.6723,88.0892334,0,F4BR-A
P30-09,30328.371,1518405.063,692241.6519,88.0892334,0,F4BR-A
P30-10,30363.372,1518406.23,692276.6334,88.0892334,0,F4BR-A
P30-11,30398.371,1518407.397,692311.613,88.0892334,0,F4BR-A
P30-12,30433.372,1518408.564,692346.5945,88.0892334,0,F4BR-A
P30-13,30468.371,1518409.731,692381.574,88.0892334,0,F4BR-A
P30-14,30503.371,1518410.898,692416.5546,88.0892334,0,F4BR-A
P30-15,30541.372,1518412.166,692454.5345,88.0892334,0,F4BR-A
P30-16,30580.371,1518413.466,692493.5118,88.0892334,0,F4BR-A
P30-17,30618.371,1518414.733,692531.4906,88.0892334,0,F4BR-A
P30-18,30658.371,1518416.067,692571.4684,88.0892334,0,F4BR-A
P30-19,30698.371,1518417.399,692611.4462,88.0892334,0,F4BR-A
P30-20,30738.371,1518418.734,692651.4239,88.0892334,0,F4BR-A
P30-21,30778.371,1518420.068,692691.4017,88.0892334,0,F4BR-A
P30-22,30818.371,1518421.4,692731.3795,88.0892334,0,F4BR-A
