TYPE,Point,CH,OS,Point,CH,OS,Point,CH,OS,Point,CH,OS,Point,CH,OS,Point,CH,OS,Point,CH,OS,Point,CH,OS,Point,CH,OS,Point,CH,OS
F1B-A,1,0,0,2,N/A,N/A,3,N/A,N/A,4,N/A,N/A,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F1B-B,1,0,0,2,N/A,N/A,3,N/A,N/A,4,N/A,N/A,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F1B-C,1,1.875,0,2,-1.875,0,3,N/A,N/A,4,N/A,N/A,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F1B-D,1,2.25,0,2,-2.25,0,3,N/A,N/A,4,N/A,N/A,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F2B-A,1,1.5,-2.25,2,1.5,2.25,3,-1.5,2.25,4,-1.5,-2.25,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F2B-B,1,1.5,-2.5,2,1.5,2.5,3,-1.5,2.5,4,-1.5,-2.5,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F2B-F,1,1.5,-1.8,2,1.5,1.8,3,-1.5,1.8,4,-1.5,-1.8,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F2B-G,1,2.25,0,2,-2.25,0,3,N/A,N/A,4,N/A,N/A,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F2B-H,1,2.7,0,2,-2.7,0,3,N/A,N/A,4,N/A,N/A,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4B-A,1,1.8,-2.25,2,1.8,2.25,3,-1.8,2.25,4,-1.8,-2.25,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4B-B,1,1.8,-2.5,2,1.8,2.5,3,-1.8,2.5,4,-1.8,-2.5,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4B-C,1,1.8,-3,2,1.8,3,3,-1.8,3,4,-1.8,-3,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4B-D,1,2.25,-3,2,2.25,3,3,-2.25,3,4,-2.25,-3,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4B-E,1,2.25,-2.5,2,2.25,2.5,3,-2.25,2.5,4,-2.25,-2.5,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4B-F,1,2.25,-3,2,2.25,3,3,-2.25,3,4,-2.25,-3,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4B-G,1,2.25,-3.75,2,2.25,3.75,3,-2.25,3.75,4,-2.25,-3.75,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4B-H,1,2.7,-4.5,2,2.7,4.5,3,-2.7,4.5,4,-2.7,-4.5,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4B-T,1,2.25,-3,2,2.25,3,3,-2.25,3,4,-2.25,-3,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4B-U,1,3.75,-3.75,2,3.75,3.75,3,-3.75,3.75,4,-3.75,-3.75,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4B-V,1,2.25,-3.75,2,2.25,3.75,3,-2.25,3.75,4,-2.25,-3.75,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4B-W,1,1.8,-2.25,2,1.8,2.25,3,-1.8,2.25,4,-1.8,-2.25,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4BR-A,1,2.5,-1.5,2,2.5,1.5,3,-2.5,1.5,4,-2.5,-1.5,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F4BR-B,1,2.5,-2,2,2.5,2,3,-2.5,2,4,-2.5,-2,5,N/A,N/A,6,N/A,N/A,7,N/A,N/A,8,N/A,N/A,9,N/A,N/A,10,N/A,N/A
F9B-A,1,4.5,-4.5,2,4.5,0,3,4.5,4.5,4,0,-4.5,5,0,0,6,0,4.5,7,-4.5,-4.5,8,-4.5,0,9,-4.5,4.5,10,N/A,N/A
