Name,AdjH_m,Release
BM-100,36.992,@TCT@PSN@20210312
BM-101,27.922,@TCT@PSN@20210312
BM-102,27.826,@TCT@PSN@20210312
BM-103,25.309,@TCT@PSN@20210312
BM-104,23.539,@TCT@PSN@20210312
BM-105,23.501,@TCT@PSN@20210312
BM-106,25.379,@TCT@PSN@20210312
BM-107,25.180,@TCT@PSN@20210312
BM-108,26.705,@TCT@PSN@20210312
BM-109,26.052,@TCT@PSN@20210312
BM-110,27.614,@TCT@PSN@20210312
BM-111,30.517,@TCT@PSN@20210312
BM-112,31.216,@TCT@PSN@20210312
BM-113,30.935,@TCT@PSN@20210312
BM-114,32.223,@TCT@PSN@20210312
BM-115,32.420,@TCT@PSN@20210312
BM-116,33.719,@TCT@PSN@20210312
BM-117,34.688,@TCT@PSN@20210312
BM-118,36.081,@TCT@PSN@20210312
BM-119,36.939,@TCT@PSN@20210312
BM-120,40.069,@TCT@PSN@20210312
BM-121,40.647,@TCT@PSN@20210312
BM-122,42.972,@TCT@PSN@20210312
BM-123,42.697,@TCT@PSN@20210312
BM-124,43.777,@TCT@PSN@20210312
BM-125,45.279,@TCT@PSN@20210312
BM-126,48.501,@TCT@PSN@20210312
BM-127,50.075,@TCT@PSN@20210312
BM-128,50.396,@TCT@PSN@20210312
BM-129,50.690,@TCT@PSN@20210312
BM-130,50.773,@TCT@PSN@20210312
BM-131,52.618,@TCT@PSN@20210312
BM-132,52.727,@TCT@PSN@20210312
BM-133,54.144,@TCT@PSN@20210312
BM-134,55.447,@TCT@PSN@20210312
BM-135,56.049,@TCT@PSN@20210312
BM-136,57.624,@TCT@PSN@20210312
BM-137,59.179,@TCT@PSN@20210312
BM-138,60.642,@TCT@PSN@20210312
BM-139,62.184,@TCT@PSN@20210312
BM-140,64.630,@TCT@PSN@20210312
BM-141,65.379,@TCT@PSN@20210312
BM-142,66.694,@TCT@PSN@20210312
BM-143,67.993,@TCT@PSN@20210312
BM-144,69.707,@TCT@PSN@20210312
BM-145,72.293,@TCT@PSN@20210312
BM-146,72.915,@TCT@PSN@20210312
BM-147,75.167,@TCT@PSN@20210312
BM-148,72.777,@TCT@PSN@20210312
BM-149,78.742,@TCT@PSN@20210312
BM-150,92.746,@TCT@PSN@20210312
BM-151,80.015,@TCT@PSN@20210312
BM-152,81.788,@TCT@PSN@20210312
BM-153,81.944,@TCT@PSN@20210312
BM-154,83.637,@TCT@PSN@20210312
BM-155,87.242,@TCT@PSN@20210312
BM-156,90.067,@TCT@PSN@20210312
BM-157,88.483,@TCT@PSN@20210312
BM-158,88.946,@TCT@PSN@20210312
BM-159,91.655,@TCT@PSN@20210312
BM-160,92.437,@TCT@PSN@20210312
BM-161,92.851,@TCT@PSN@20210312
BM-162,94.698,@TCT@PSN@20210312
BM-163,99.835,@TCT@PSN@20210312
BM-164,98.673,@TCT@PSN@20210312
BM-165,105.968,@TCT@PSN@20210312
BM-166,113.399,@TCT@PSN@20210312
BM-167,101.531,@TCT@PSN@20210312
BM-168,101.697,@TCT@PSN@20210312
BM-169,103.625,@TCT@PSN@20210312
BM-170,105.924,@TCT@PSN@20210312
BM-171,111.295,@TCT@PSN@20210312
BM-172,111.605,@TCT@PSN@20210312
BM-173,131.181,@TCT@PSN@20210312
BM-174,120.671,@TCT@PSN@20210312
BM-175,110.503,@TCT@PSN@20210312
BM-200,140.296,@TCT@PSN@20210312
BM-201,154.742,@TCT@PSN@20210312
BM-202,189.480,@TCT@PSN@20210312
BM-203,215.001,@TCT@PSN@20210312
BM-204,238.757,@TCT@PSN@20210312
BM-205,301.372,@TCT@PSN@20210312
BM-206,536.077,@TCT@PSN@20210312
BM-207,724.811,@TCT@PSN@20210312
BM-208,878.992,@TCT@PSN@20210312
BM-209,829.686,@TCT@PSN@20210312
BM-210,731.897,@TCT@PSN@20210312
BM-211,488.681,@TCT@PSN@20210312
BM-212,345.840,@TCT@PSN@20210312
BM-213,365.759,@TCT@PSN@20210312
BM-214,352.434,@TCT@PSN@20210312
BM-215,295.332,@TCT@PSN@20210312
BM-216,362.596,@TCT@PSN@20210312
BM-217,481.360,@TCT@PSN@20210312
BM-218,687.080,@TCT@PSN@20210312
BM-219,527.059,@TCT@PSN@20210312
BM-220,391.576,@TCT@PSN@20210312
BM-221,278.988,@TCT@PSN@20210312
BM-222,243.354,@TCT@PSN@20210312
BM-223,217.693,@TCT@PSN@20210312
BM-224,199.274,@TCT@PSN@20210312
BM-225,202.530,@TCT@PSN@20210312
BM-226,201.420,@TCT@PSN@20210312
