Name,UTM_Zone,Easting,Northing,AdjH_m,Release
CP-1,47,624174.984812,1731919.057024,37.239,@TCT@PSN@20210312
CP-1A,47,624125.371087,1732124.175803,37.148,@TCT@PSN@20210312
CP-2,47,623598.939223,1736499.297866,28.052,@TCT@PSN@20210312
CP-2A,47,623682.169976,1736594.802799,27.925,@TCT@PSN@20210312
CP-3,47,623878.363194,1740016.649861,22.803,@TCT@PSN@20210312
CP-3A,47,623730.173625,1740251.493593,22.878,@TCT@PSN@20210312
CP-4,47,623202.219894,1746616.082764,25.480,@TCT@PSN@20210312
CP-4A,47,622902.3769,1746645.876206,25.608,@TCT@PSN@20210312
CP-5,47,622536.699609,1751888.774928,26.746,@TCT@PSN@20210312
CP-5A,47,622816.419654,1751913.198581,26.252,@TCT@PSN@20210312
CP-6,47,616868.43262,1756187.896563,30.251,@TCT@PSN@20210312
CP-6A,47,616955.183881,1756418.753035,30.557,@TCT@PSN@20210312
CP-7,47,611972.245816,1760622.118725,32.134,@TCT@PSN@20210312
CP-7A,47,612009.527858,1760851.541133,32.263,@TCT@PSN@20210312
CP-8,47,607492.616611,1765823.36456,34.652,@TCT@PSN@20210312
CP-8A,47,607800.532686,1765981.844587,35.112,@TCT@PSN@20210312
CP-9,47,599438.454494,1775029.745451,43.309,@TCT@PSN@20210312
CP-9A,47,599274.602432,1774955.835311,43.029,@TCT@PSN@20210312
CP-10,47,595130.196397,1780003.920261,44.827,@TCT@PSN@20210312
CP-10A,47,594963.540508,1779764.774164,44.025,@TCT@PSN@20210312
CP-11,47,590134.949024,1785464.631259,50.188,@TCT@PSN@20210312
CP-11A,47,590505.949348,1785601.73837,49.057,@TCT@PSN@20210312
CP-12,47,586755.98078,1789587.306007,50.786,@TCT@PSN@20210312
CP-12A,47,586560.054118,1789456.838603,50.305,@TCT@PSN@20210312
CP-13,47,583724.258348,1792986.594031,52.466,@TCT@PSN@20210312
CP-13A,47,583926.730644,1793152.831951,52.293,@TCT@PSN@20210312
CP-14,47,581338.517883,1797005.025793,54.601,@TCT@PSN@20210312
CP-14A,47,581494.254415,1797184.119286,54.748,@TCT@PSN@20210312
CP-15,47,576735.187387,1804639.930729,58.544,@TCT@PSN@20210312
CP-15A,47,576095.21186,1804633.406414,58.442,@TCT@PSN@20210312
CP-16,47,572712.51827,1810623.658983,63.183,@TCT@PSN@20210312
CP-16A,47,573033.40537,1810930.513266,63.266,@TCT@PSN@20210312
CP-17,47,567143.509691,1816226.24661,67.420,@TCT@PSN@20210312
CP-17A,47,567312.459814,1816085.862802,67.473,@TCT@PSN@20210312
CP-18,47,560091.249845,1821637.606328,72.083,@TCT@PSN@20210312
CP-18A,47,560354.51323,1821659.494847,72.106,@TCT@PSN@20210312
CP-19,47,555593.557573,1828747.517412,86.674,@TCT@PSN@20210312
CP-19A,47,555336.698485,1828752.368901,90.764,@TCT@PSN@20210312
CP-20,47,550827.905641,1833497.200389,81.432,@TCT@PSN@20210312
CP-20A,47,550666.622142,1833687.695477,81.767,@TCT@PSN@20210312
CP-21,47,547910.452068,1839606.308927,91.389,@TCT@PSN@20210312
CP-21A,47,548148.003775,1839740.098346,95.842,@TCT@PSN@20210312
CP-22,47,537284.195232,1842101.407722,109.298,@TCT@PSN@20210312
CP-22A,47,537363.206774,1842375.603505,118.610,@TCT@PSN@20210312
CP-23,47,528776.155948,1848366.875871,100.166,@TCT@PSN@20210312
CP-23A,47,528938.978953,1848578.154593,101.061,@TCT@PSN@20210312
CP-24,47,520828.448973,1855372.655278,101.806,@TCT@PSN@20210312
CP-24A,47,520951.783432,1855165.776682,101.734,@TCT@PSN@20210312
CP-25,47,515371.211572,1858104.752707,107.594,@TCT@PSN@20210312
CP-25A,47,515202.38351,1858294.401432,111.658,@TCT@PSN@20210312
CP-26,47,511357.155056,1864133.325988,112.763,@TCT@PSN@20210312
CP-26A,47,511106.23146,1864163.716434,113.805,@TCT@PSN@20210312
CP-27,47,510621.421487,1859666.725227,145.518,@TCT@PSN@20210312
CP-27A,47,510565.005662,1859464.320925,145.154,@TCT@PSN@20210312
CP-28,47,497080.342006,1858890.555996,427.879,@TCT@PSN@20210312
CP-28A,47,496909.525051,1859018.20325,448.370,@TCT@PSN@20210312
CP-29,47,480722.875658,1852583.749598,349.649,@TCT@PSN@20210312
CP-29A,47,480746.889346,1852768.311222,352.388,@TCT@PSN@20210312
CP-30,47,473272.55101,1853596.610537,288.878,@TCT@PSN@20210312
CP-30A,47,473014.140857,1853539.421094,293.622,@TCT@PSN@20210312
CP-31,47,459654.498351,1854039.444655,302.125,@TCT@PSN@20210312
CP-31A,47,459505.482226,1854027.420226,290.622,@TCT@PSN@20210312
CP-32,47,451660.768984,1851781.262209,212.057,@TCT@PSN@20210312
CP-32A,47,451487.368339,1851852.892185,208.821,@TCT@PSN@20210312
CP-33,47,449029.95015,1847857.609544,203.405,@TCT@PSN@20210312
CP-33A,47,448938.384772,1847989.705413,201.887,@TCT@PSN@20210312
